Episode;DateEpisode;TotalCases;Imported;Mechanism;DateOneCase;DateMoreOneCase;DateImported;DateMoreFiveCases;VIM;KPC;OXA48;NDM;Department;Region
1;02/12/2003;8;O;VIM  ;;02/12/2003;02/12/2003;02/12/2003;02/12/2003;;;;94;Ile-de-France
2;02/12/2003;17;N;IMP VIM ;;02/12/2003;;02/12/2003;02/12/2003;;;;80;Hauts-de-France
3;01/02/2005;1;O;KPC  ;01/02/2005;;01/02/2005;;;01/02/2005;;;75;Ile-de-France
4;27/01/2006;1;O;KPC  ;27/01/2006;;27/01/2006;;;27/01/2006;;;94;Ile-de-France
5;04/04/2006;1;O;VIM  ;04/04/2006;;04/04/2006;;04/04/2006;;;;94;Ile-de-France
6;13/08/2007;1;O;KPC  ;13/08/2007;;13/08/2007;;;13/08/2007;;;77;Ile-de-France
7;08/01/2008;1;O;VIM  ;08/01/2008;;08/01/2008;;08/01/2008;;;;94;Ile-de-France
8;28/07/2008;2;O;KPC  ;;28/07/2008;28/07/2008;;;28/07/2008;;;92;Ile-de-France
9;12/11/2008;1;O;VIM  ;12/11/2008;;12/11/2008;;12/11/2008;;;;75;Ile-de-France
10;29/01/2009;1;O;NDM-1  ;29/01/2009;;29/01/2009;;;;;29/01/2009;75;Ile-de-France
11;01/05/2009;1;N;KPC  ;01/05/2009;;;;;01/05/2009;;;59;Hauts-de-France
12;10/06/2009;1;O;KPC  ;10/06/2009;;10/06/2009;;;10/06/2009;;;75;Ile-de-France
13;22/07/2009;1;O;OXA-48  ;22/07/2009;;22/07/2009;;;;22/07/2009;;75;Ile-de-France
14;05/08/2009;1;O;KPC  ;05/08/2009;;05/08/2009;;;05/08/2009;;;75;Ile-de-France
15;19/08/2009;67;O;OXA-48  ;;19/08/2009;19/08/2009;19/08/2009;;;19/08/2009;;54;Grand Est
16;31/08/2009;1;O;OXA-48  ;31/08/2009;;31/08/2009;;;;31/08/2009;;91;Ile-de-France
17;31/08/2009;1;N;KPC  ;31/08/2009;;;;;31/08/2009;;;94;Ile-de-France
18;10/09/2009;1;O;OXA-48  ;10/09/2009;;10/09/2009;;;;10/09/2009;;75;Ile-de-France
19;12/09/2009;13;O;KPC  ;;12/09/2009;12/09/2009;12/09/2009;;12/09/2009;;;94;Ile-de-France
20;01/10/2009;1;O;OXA-48  ;01/10/2009;;01/10/2009;;;;01/10/2009;;44;Pays de la Loire
21;13/10/2009;5;O;KPC  ;;13/10/2009;13/10/2009;;;13/10/2009;;;38;Auvergne-Rhone-Alpes
22;01/11/2009;8;N;VIM IMI ;;01/11/2009;;01/11/2009;01/11/2009;;;;30;Occitanie
23;16/03/2010;2;O;OXA-48  ;;16/03/2010;16/03/2010;;;;16/03/2010;;75;Ile-de-France
24;30/03/2010;13;N;OXA-48  ;;30/03/2010;;30/03/2010;;;30/03/2010;;94;Ile-de-France
25;01/04/2010;1;O;NDM-1  ;01/04/2010;;01/04/2010;;;;;01/04/2010;41;Centre-Val de Loire
26;06/06/2010;1;O;KPC  ;06/06/2010;;06/06/2010;;;06/06/2010;;;94;Ile-de-France
27;15/06/2010;1;N;OXA-48  ;15/06/2010;;;;;;15/06/2010;;25;Bourgogne-Franche-Comte
28;21/06/2010;1;N;KPC  ;21/06/2010;;;;;21/06/2010;;;94;Ile-de-France
29;07/08/2010;1;O;KPC  ;07/08/2010;;07/08/2010;;;07/08/2010;;;92;Ile-de-France
30;08/08/2010;1;O;KPC  ;08/08/2010;;08/08/2010;;;08/08/2010;;;81;Occitanie
31;12/08/2010;1;O;NDM-1  ;12/08/2010;;12/08/2010;;;;;12/08/2010;42;Auvergne-Rhone-Alpes
32;24/08/2010;2;O;OXA-48  ;;24/08/2010;24/08/2010;;;;24/08/2010;;94;Ile-de-France
33;24/08/2010;3;O;KPC  ;;24/08/2010;24/08/2010;;;24/08/2010;;;77;Ile-de-France
34;24/08/2010;1;N;OXA-48  ;24/08/2010;;;;;;24/08/2010;;94;Ile-de-France
35;26/08/2010;2;O;OXA-48  ;;26/08/2010;26/08/2010;;;;26/08/2010;;42;Auvergne-Rhone-Alpes
36;01/09/2010;3;O;OXA-48  ;;01/09/2010;01/09/2010;;;;01/09/2010;;73;Auvergne-Rhone-Alpes
37;01/09/2010;1;O;NDM-1  ;01/09/2010;;01/09/2010;;;;;01/09/2010;13;Provence-Alpes-Cote d'Azur
38;22/09/2010;1;O;OXA-48  ;22/09/2010;;22/09/2010;;;;22/09/2010;;75;Ile-de-France
39;25/09/2010;7;O;VIM  ;;25/09/2010;25/09/2010;25/09/2010;25/09/2010;;;;75;Ile-de-France
40;06/10/2010;1;O;KPC  ;06/10/2010;;06/10/2010;;;06/10/2010;;;94;Ile-de-France
41;19/10/2010;2;N;NDM-1  ;;19/10/2010;;;;;;19/10/2010;42;Auvergne-Rhone-Alpes
42;29/10/2010;1;N;OXA-48  ;29/10/2010;;;;;;29/10/2010;;78;Ile-de-France
43;01/11/2010;1;O;VIM  ;01/11/2010;;01/11/2010;;01/11/2010;;;;75;Ile-de-France
44;15/11/2010;1;O;OXA-48  ;15/11/2010;;15/11/2010;;;;15/11/2010;;94;Ile-de-France
45;15/11/2010;1;O;OXA-48  ;15/11/2010;;15/11/2010;;;;15/11/2010;;92;Ile-de-France
46;17/11/2010;2;O;KPC  ;;17/11/2010;17/11/2010;;;17/11/2010;;;77;Ile-de-France
47;23/11/2010;1;O;NDM-1  ;23/11/2010;;23/11/2010;;;;;23/11/2010;94;Ile-de-France
48;23/11/2010;1;N;OXA-48  ;23/11/2010;;;;;;23/11/2010;;974;La Reunion
49;01/12/2010;2;N;OXA-48  ;;01/12/2010;;;;;01/12/2010;;94;Ile-de-France
50;23/12/2010;6;N;OXA-48  ;;23/12/2010;;23/12/2010;;;23/12/2010;;78;Ile-de-France
51;28/12/2010;11;O;KPC  ;;28/12/2010;28/12/2010;28/12/2010;;28/12/2010;;;75;Ile-de-France
52;27/01/2011;1;N;OXA-48  ;27/01/2011;;;;;;27/01/2011;;25;Bourgogne-Franche-Comte
53;28/01/2011;2;O;NDM-1  ;;28/01/2011;28/01/2011;;;;;28/01/2011;79;Nouvelle-Aquitaine
54;21/02/2011;1;O;NDM-1  ;21/02/2011;;21/02/2011;;;;;21/02/2011;75;Ile-de-France
55;21/02/2011;1;O;OXA-48  ;21/02/2011;;21/02/2011;;;;21/02/2011;;75;Ile-de-France
56;06/03/2011;1;O;OXA-48  ;06/03/2011;;06/03/2011;;;;06/03/2011;;61;Normandie
57;09/03/2011;1;O;OXA-48  ;09/03/2011;;09/03/2011;;;;09/03/2011;;94;Ile-de-France
58;09/03/2011;3;N;OXA-48  ;;09/03/2011;;;;;09/03/2011;;34;Occitanie
59;09/03/2011;1;N;OXA-48  ;09/03/2011;;;;;;09/03/2011;;75;Ile-de-France
60;15/03/2011;1;O;KPC  ;15/03/2011;;15/03/2011;;;15/03/2011;;;44;Pays de la Loire
61;16/03/2011;2;O;OXA-48  ;;16/03/2011;16/03/2011;;;;16/03/2011;;13;Provence-Alpes-Cote d'Azur
62;16/03/2011;1;O;KPC VIM ;16/03/2011;;16/03/2011;;16/03/2011;16/03/2011;;;75;Ile-de-France
63;22/03/2011;1;O;OXA-48  ;22/03/2011;;22/03/2011;;;;22/03/2011;;75;Ile-de-France
64;23/03/2011;1;O;VIM  ;23/03/2011;;23/03/2011;;23/03/2011;;;;94;Ile-de-France
65;28/03/2011;1;O;OXA-48  ;28/03/2011;;28/03/2011;;;;28/03/2011;;54;Grand Est
66;28/03/2011;1;N;OXA-48  ;28/03/2011;;;;;;28/03/2011;;6;Provence-Alpes-Cote d'Azur
67;30/03/2011;1;O;NDM-1 KPC ;30/03/2011;;30/03/2011;;;30/03/2011;;30/03/2011;22;Bretagne
68;04/04/2011;1;O;KPC  ;04/04/2011;;04/04/2011;;;04/04/2011;;;75;Ile-de-France
