Episode,DateEpisode,TotalCases,Imported,Mechanism,DateOneCase,DateMoreOneCase,DateImported,DateMoreFiveCases,VIM,KPC,OXA48,NDM,Department,Region
1,2/12/03,8,O,VIM  ,,2/12/03,2/12/03,2/12/03,2/12/03,,,,94,IledeFrance
2,27/01/2006,1,O,KPC  ,27/01/2006,,27/01/2006,,,27/01/2006,,,94,IledeFrance
3,4/4/06,1,O,VIM  ,4/4/06,,4/4/06,,4/4/06,,,,94,IledeFrance
4,13/08/2007,1,O,KPC  ,13/08/2007,,13/08/2007,,,13/08/2007,,,77,IledeFrance
5,8/1/08,1,O,VIM  ,8/1/08,,8/1/08,,8/1/08,,,,94,IledeFrance
6,12/11/08,1,O,VIM  ,12/11/08,,12/11/08,,12/11/08,,,,75,IledeFrance
7,28/07/2008,2,O,KPC  ,,28/07/2008,28/07/2008,,,28/07/2008,,,92,IledeFrance
8,5/8/09,1,O,KPC  ,5/8/09,,5/8/09,,,5/8/09,,,75,IledeFrance
9,12/9/09,13,O,KPC  ,,12/9/09,12/9/09,12/9/09,,12/9/09,,,94,IledeFrance
10,13/10/2009,5,O,KPC  ,,13/10/2009,13/10/2009,,,13/10/2009,,,38,AuvergneRhoneAlpes
11,10/6/09,1,O,KPC  ,10/6/09,,10/6/09,,,10/6/09,,,75,IledeFrance
12,6/6/10,1,O,KPC  ,6/6/10,,6/6/10,,,6/6/10,,,94,IledeFrance
13,16/03/2010,2,O,OXA-48  ,,16/03/2010,16/03/2010,,,,16/03/2010,,75,IledeFrance
14,7/8/10,1,O,KPC  ,7/8/10,,7/8/10,,,7/8/10,,,92,IledeFrance
15,1/4/10,1,O,NDM-1  ,1/4/10,,1/4/10,,,,,1/4/10,41,Centre-Val de Loire
16,12/8/10,1,O,NDM-1  ,12/8/10,,12/8/10,,,,,12/8/10,42,AuvergneRhoneAlpes
17,26/08/2010,2,O,OXA-48  ,,26/08/2010,26/08/2010,,,,26/08/2010,,42,AuvergneRhoneAlpes
18,24/08/2010,2,O,OXA-48  ,,24/08/2010,24/08/2010,,,,24/08/2010,,94,IledeFrance
19,1/9/10,3,O,OXA-48  ,,1/9/10,1/9/10,,,,1/9/10,,73,AuvergneRhoneAlpes
20,24/08/2010,3,O,KPC  ,,24/08/2010,24/08/2010,,,24/08/2010,,,77,IledeFrance
21,1/9/10,1,O,NDM-1  ,1/9/10,,1/9/10,,,,,1/9/10,13,ProvenceAlpesCotedAzur
22,29/01/2009,1,O,NDM-1  ,29/01/2009,,29/01/2009,,,,,29/01/2009,75,IledeFrance
23,10/9/09,1,O,OXA-48  ,10/9/09,,10/9/09,,,,10/9/09,,75,IledeFrance
24,8/8/10,1,O,KPC  ,8/8/10,,8/8/10,,,8/8/10,,,81,Occitanie
25,22/09/2010,1,O,OXA-48  ,22/09/2010,,22/09/2010,,,,22/09/2010,,75,IledeFrance
26,19/08/2009,67,O,OXA-48  ,,19/08/2009,19/08/2009,19/08/2009,,,19/08/2009,,54,Grand Est
27,6/10/10,1,O,KPC  ,6/10/10,,6/10/10,,,6/10/10,,,94,IledeFrance
28,15/11/2010,1,O,OXA-48  ,15/11/2010,,15/11/2010,,,,15/11/2010,,94,IledeFrance
29,23/11/2010,1,O,NDM-1  ,23/11/2010,,23/11/2010,,,,,23/11/2010,94,IledeFrance
30,25/09/2010,7,O,VIM  ,,25/09/2010,25/09/2010,25/09/2010,25/09/2010,,,,75,IledeFrance
31,15/11/2010,1,O,OXA-48  ,15/11/2010,,15/11/2010,,,,15/11/2010,,92,IledeFrance
32,17/11/2010,2,O,KPC  ,,17/11/2010,17/11/2010,,,17/11/2010,,,77,IledeFrance
33,28/12/2010,11,O,KPC  ,,28/12/2010,28/12/2010,28/12/2010,,28/12/2010,,,75,IledeFrance
34,28/01/2011,2,O,NDM-1  ,,28/01/2011,28/01/2011,,,,,28/01/2011,79,Nouvelle-Aquitaine
35,21/02/2011,1,O,NDM-1  ,21/02/2011,,21/02/2011,,,,,21/02/2011,75,IledeFrance
36,6/3/11,1,O,OXA-48  ,6/3/11,,6/3/11,,,,6/3/11,,61,Normandie
37,22/03/2011,1,O,OXA-48  ,22/03/2011,,22/03/2011,,,,22/03/2011,,75,IledeFrance
38,15/03/2011,1,O,KPC  ,15/03/2011,,15/03/2011,,,15/03/2011,,,44,Pays de la Loire
39,9/3/11,1,O,OXA-48  ,9/3/11,,9/3/11,,,,9/3/11,,94,IledeFrance
40,28/03/2011,1,O,OXA-48  ,28/03/2011,,28/03/2011,,,,28/03/2011,,54,Grand Est
41,23/03/2011,1,O,VIM  ,23/03/2011,,23/03/2011,,23/03/2011,,,,94,IledeFrance
42,16/03/2011,2,O,OXA-48  ,,16/03/2011,16/03/2011,,,,16/03/2011,,13,ProvenceAlpesCotedAzur
43,16/03/2011,1,O,KPC VIM ,16/03/2011,,16/03/2011,,16/03/2011,16/03/2011,,,75,IledeFrance
44,6/4/11,1,O,OXA-48  ,6/4/11,,6/4/11,,,,6/4/11,,76,Normandie
45,30/03/2011,1,O,NDM-1 KPC ,30/03/2011,,30/03/2011,,,30/03/2011,,30/03/2011,22,Bretagne
46,3/5/11,4,O,OXA-48  ,,3/5/11,3/5/11,,,,3/5/11,,44,Pays de la Loire
47,21/02/2011,1,O,OXA-48  ,21/02/2011,,21/02/2011,,,,21/02/2011,,75,IledeFrance
48,1/11/10,1,O,VIM  ,1/11/10,,1/11/10,,1/11/10,,,,75,IledeFrance
49,12/5/11,1,O,OXA-48  ,12/5/11,,12/5/11,,,,12/5/11,,66,Occitanie
50,9/5/11,1,O,KPC  ,9/5/11,,9/5/11,,,9/5/11,,,73,AuvergneRhoneAlpes
51,27/05/2011,1,O,OXA-48  ,27/05/2011,,27/05/2011,,,,27/05/2011,,93,IledeFrance
52,14/06/2011,1,O,OXA-48  ,14/06/2011,,14/06/2011,,,,14/06/2011,,59,Hauts-de-France
53,25/05/2011,1,O,OXA-48  ,25/05/2011,,25/05/2011,,,,25/05/2011,,75,IledeFrance
54,25/06/2011,1,O,NDM-1  ,25/06/2011,,25/06/2011,,,,,25/06/2011,64,Nouvelle-Aquitaine
55,20/06/2011,1,O,OXA-48  ,20/06/2011,,20/06/2011,,,,20/06/2011,,57,Grand Est
56,28/06/2011,1,O,OXA-48  ,28/06/2011,,28/06/2011,,,,28/06/2011,,92,IledeFrance
57,3/6/11,3,O,KPC  ,,3/6/11,3/6/11,,,3/6/11,,,75,IledeFrance
58,1/7/11,1,O,KPC  ,1/7/11,,1/7/11,,,1/7/11,,,75,IledeFrance
59,15/07/2011,1,O,OXA-48  ,15/07/2011,,15/07/2011,,,,15/07/2011,,75,IledeFrance
60,5/6/11,14,O,KPC  ,,5/6/11,5/6/11,5/6/11,,5/6/11,,,91,IledeFrance
61,22/07/2009,1,O,OXA-48  ,22/07/2009,,22/07/2009,,,,22/07/2009,,75,IledeFrance
62,25/07/2011,1,O,OXA-48  ,25/07/2011,,25/07/2011,,,,25/07/2011,,91,IledeFrance
63,20/05/2011,1,O,OXA-48  ,20/05/2011,,20/05/2011,,,,20/05/2011,,66,Occitanie
64,23/07/2011,1,O,OXA-48  ,23/07/2011,,23/07/2011,,,,23/07/2011,,6,ProvenceAlpesCotedAzur
65,5/8/11,1,O,OXA-48  ,5/8/11,,5/8/11,,,,5/8/11,,78,IledeFrance
66,12/8/11,1,O,KPC  ,12/8/11,,12/8/11,,,12/8/11,,,92,IledeFrance
67,25/07/2011,1,O,OXA-48  ,25/07/2011,,25/07/2011,,,,25/07/2011,,42,AuvergneRhoneAlpes
68,9/8/11,1,O,KPC-3  ,9/8/11,,9/8/11,,,9/8/11,,,73,AuvergneRhoneAlpes
69,23/08/2011,1,O,OXA-48  ,23/08/2011,,23/08/2011,,,,23/08/2011,,42,AuvergneRhoneAlpes
70,16/08/2011,1,O,NDM-1  ,16/08/2011,,16/08/2011,,,,,16/08/2011,95,IledeFrance
71,1/9/11,1,O,OXA-48  ,1/9/11,,1/9/11,,,,1/9/11,,75,IledeFrance
72,9/9/11,1,O,KPC  ,9/9/11,,9/9/11,,,9/9/11,,,80,Hauts-de-France
73,12/8/11,1,O,OXA-48  ,12/8/11,,12/8/11,,,,12/8/11,,51,Grand Est
74,6/9/11,1,O,OXA-48  ,6/9/11,,6/9/11,,,,6/9/11,,92,IledeFrance
75,10/10/11,1,O,OXA-48  ,10/10/11,,10/10/11,,,,10/10/11,,59,Hauts-de-France
76,17/08/2011,1,O,KPC  ,17/08/2011,,17/08/2011,,,17/08/2011,,,94,IledeFrance
77,6/4/11,1,O,KPC  ,6/4/11,,6/4/11,,,6/4/11,,,42,AuvergneRhoneAlpes
78,20/09/2011,1,O,NDM-1  ,20/09/2011,,20/09/2011,,,,,20/09/2011,75,IledeFrance
79,19/09/2011,20,O,KPC-2  ,,19/09/2011,19/09/2011,19/09/2011,,19/09/2011,,,93,IledeFrance
80,27/09/2011,1,O,OXA-48  ,27/09/2011,,27/09/2011,,,,27/09/2011,,93,IledeFrance
81,19/09/2011,1,O,KPC  ,19/09/2011,,19/09/2011,,,19/09/2011,,,94,IledeFrance
82,27/09/2011,2,O,OXA-48  ,,27/09/2011,27/09/2011,,,,27/09/2011,,75,IledeFrance
83,28/09/2011,1,O,OXA-48  ,28/09/2011,,28/09/2011,,,,28/09/2011,,93,IledeFrance
84,27/09/2011,1,O,OXA-48  ,27/09/2011,,27/09/2011,,,,27/09/2011,,94,IledeFrance
85,30/09/2011,1,O,NDM-1  ,30/09/2011,,30/09/2011,,,,,30/09/2011,78,IledeFrance
86,8/9/11,1,O,OXA-48  ,8/9/11,,8/9/11,,,,8/9/11,,75,IledeFrance
87,28/09/2011,1,O,OXA-48  ,28/09/2011,,28/09/2011,,,,28/09/2011,,75,IledeFrance
88,30/09/2011,1,O,OXA-48  ,30/09/2011,,30/09/2011,,,,30/09/2011,,6,ProvenceAlpesCotedAzur
89,21/11/2011,1,O,OXA-48  ,21/11/2011,,21/11/2011,,,,21/11/2011,,59,Hauts-de-France
90,19/10/2011,1,O,OXA-48  ,19/10/2011,,19/10/2011,,,,19/10/2011,,92,IledeFrance
91,25/10/2011,1,O,OXA-48  ,25/10/2011,,25/10/2011,,,,25/10/2011,,6,ProvenceAlpesCotedAzur
92,10/10/11,1,O,VIM  ,10/10/11,,10/10/11,,10/10/11,,,,83,ProvenceAlpesCotedAzur
93,4/11/11,1,O,OXA-48  ,4/11/11,,4/11/11,,,,4/11/11,,75,IledeFrance
94,9/11/11,1,O,OXA-48  ,9/11/11,,9/11/11,,,,9/11/11,,75,IledeFrance
95,10/4/12,4,O,OXA-48  ,,10/4/12,10/4/12,,,,10/4/12,,92,IledeFrance
96,28/10/2011,1,O,NDM-1  ,28/10/2011,,28/10/2011,,,,,28/10/2011,94,IledeFrance
97,9/11/11,1,O,OXA-48  ,9/11/11,,9/11/11,,,,9/11/11,,75,IledeFrance
98,26/10/2011,1,O,OXA-48  ,26/10/2011,,26/10/2011,,,,26/10/2011,,75,IledeFrance
99,9/11/11,1,O,KPC  ,9/11/11,,9/11/11,,,9/11/11,,,6,ProvenceAlpesCotedAzur
100,18/11/2011,1,O,NDM-1  ,18/11/2011,,18/11/2011,,,,,18/11/2011,974,La Reunion
101,8/11/11,1,O,VIM  ,8/11/11,,8/11/11,,8/11/11,,,,94,IledeFrance
102,8/4/11,1,O,OXA-48  ,8/4/11,,8/4/11,,,,8/4/11,,6,ProvenceAlpesCotedAzur
103,16/12/2011,1,O,OXA-181  ,16/12/2011,,16/12/2011,,,,,,974,La Reunion
